Start,Length,0,0.382,0.618,1,1.618,2.618,4.236,Total_Overlaps,loc_0,loc_0.382,loc_0.618,loc_1,loc_1.618,loc_2.618,loc_4.236
816,92,1,0,0,1,0,1,0,3,816,851.144,872.856,908,964.856,1056.856,1205.712
819,61,1,0,0,1,0,1,0,3,819,842.302,856.698,880,917.698,978.698,1077.396
824,96,1,0,0,1,1,0,0,3,824,860.672,883.328,920,979.328,1075.328,1230.656
833,34,1,0,0,1,0,1,0,3,833,845.988,854.012,867,888.012,922.012,977.024
835,35,1,0,0,1,1,0,0,3,835,848.37,856.63,870,891.63,926.63,983.26
835,45,1,0,0,1,1,0,0,3,835,852.19,862.81,880,907.81,952.81,1025.62
835,96,1,0,0,1,0,1,0,3,835,871.672,894.328,931,990.328,1086.328,1241.656
837,45,1,0,1,1,0,1,0,4,837,854.19,864.81,882,909.81,954.81,1027.62
837,92,1,0,0,1,0,1,1,4,837,872.144,893.856,929,985.856,1077.856,1226.712
849,89,1,0,1,1,0,0,0,3,849,882.998,904.002,938,993.002,1082.002,1226.004
865,79,1,0,1,1,0,0,0,3,865,895.178,913.822,944,992.822,1071.8220000000001,1199.644
867,88,1,0,0,1,0,1,0,3,867,900.616,921.384,955,1009.384,1097.384,1239.768
870,50,1,0,0,1,0,1,0,3,870,889.1,900.9,920,950.9,1000.9,1081.8
870,61,1,0,1,1,0,1,1,5,870,893.302,907.698,931,968.698,1029.6979999999999,1128.396
870,96,1,0,1,1,1,0,0,4,870,906.672,929.328,966,1025.328,1121.328,1276.656
880,75,1,0,0,1,1,0,0,3,880,908.65,926.35,955,1001.35,1076.35,1197.7
880,99,1,0,0,1,0,1,1,4,880,917.818,941.182,979,1040.182,1139.182,1299.364
882,79,1,0,1,1,0,1,0,4,882,912.178,930.822,961,1009.822,1088.8220000000001,1216.644
892,54,1,0,0,1,1,0,0,3,892,912.628,925.372,946,979.372,1033.372,1120.744
904,75,1,0,1,1,1,1,0,5,904,932.65,950.35,979,1025.35,1100.35,1221.7
